ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2016,"2016",553,"Pennsylvania","04000US42","pennsylvania",971,0.00007595296923310264
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2016,"2016",4449,"Pennsylvania","04000US42","pennsylvania",19352,0.0015137403301740495
5,"Some Other Race Alone",1,"Hispanic or Latino",2016,"2016",13342,"Pennsylvania","04000US42","pennsylvania",243044,0.01901123939679732
6,"Two or More Races",0,"Not Hispanic or Latino",2016,"2016",10508.734129285032,"Pennsylvania","04000US42","pennsylvania",245081,0.01917057636726882
6,"Two or More Races",1,"Hispanic or Latino",2016,"2016",7978.3126662221,"Pennsylvania","04000US42","pennsylvania",78673,0.006153911378450961
0,"White Alone",0,"Not Hispanic or Latino",2015,"2015",3939,"Pennsylvania","04000US42","pennsylvania",9890644,0.7725554916878363
0,"White Alone",1,"Hispanic or Latino",2015,"2015",12226,"Pennsylvania","04000US42","pennsylvania",496034,0.03874507977072921
1,"Black or African American Alone",0,"Not Hispanic or Latino",2015,"2015",8302,"Pennsylvania","04000US42","pennsylvania",1349101,0.10537790930414154
1,"Black or African American Alone",1,"Hispanic or Latino",2015,"2015",5851,"Pennsylvania","04000US42","pennsylvania",59411,0.004640576924684181
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2015,"2015",2245,"Pennsylvania","04000US42","pennsylvania",12314,0.0009618431645749272
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2015,"2015",2766,"Pennsylvania","04000US42","pennsylvania",12771,0.0009975393093053758
3,"Asian Alone",0,"Not Hispanic or Latino",2015,"2015",4999,"Pennsylvania","04000US42","pennsylvania",416992,0.03257113081715349
3,"Asian Alone",1,"Hispanic or Latino",2015,"2015",1351,"Pennsylvania","04000US42","pennsylvania",3124,0.0002440147836715992
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2015,"2015",821,"Pennsylvania","04000US42","pennsylvania",2403,0.00018769767130693115
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2015,"2015",1030,"Pennsylvania","04000US42","pennsylvania",1850,0.00014450299289131197
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2015,"2015",4252,"Pennsylvania","04000US42","pennsylvania",21208,0.0016565510666156453
5,"Some Other Race Alone",1,"Hispanic or Latino",2015,"2015",12289,"Pennsylvania","04000US42","pennsylvania",227280,0.017752778499641828
6,"Two or More Races",0,"Not Hispanic or Latino",2015,"2015",9717.535335670253,"Pennsylvania","04000US42","pennsylvania",239632,0.01871758983380047
6,"Two or More Races",1,"Hispanic or Latino",2015,"2015",7555.870035938945,"Pennsylvania","04000US42","pennsylvania",69739,0.0054472941736471376
0,"White Alone",0,"Not Hispanic or Latino",2014,"2014",4362,"Pennsylvania","04000US42","pennsylvania",9937668,0.7771569229845231
0,"White Alone",1,"Hispanic or Latino",2014,"2014",12750,"Pennsylvania","04000US42","pennsylvania",471179,0.03684768114762182
1,"Black or African American Alone",0,"Not Hispanic or Latino",2014,"2014",8543,"Pennsylvania","04000US42","pennsylvania",1359575,0.10632304516177064
1,"Black or African American Alone",1,"Hispanic or Latino",2014,"2014",6069,"Pennsylvania","04000US42","pennsylvania",57290,0.004480258358176519
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2014,"2014",1901,"Pennsylvania","04000US42","pennsylvania",16827,0.0013159243741147893
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2014,"2014",2912,"Pennsylvania","04000US42","pennsylvania",10540,0.0008242611816229796
3,"Asian Alone",0,"Not Hispanic or Latino",2014,"2014",4858,"Pennsylvania","04000US42","pennsylvania",396372,0.03099753824309902
3,"Asian Alone",1,"Hispanic or Latino",2014,"2014",1454,"Pennsylvania","04000US42","pennsylvania",2913,0.00022780577059466222
