County,Race,Coverage,Total Count
Clarion,Unknown,Fully Covered,439
Clarion,Unknown,Partially Covered,884
Clarion,White,Fully Covered,888
Clarion,White,Partially Covered,3018
Clearfield,African American,Fully Covered,5
Clearfield,African American,Partially Covered,6
Clearfield,Asian,Partially Covered,
Clearfield,Asian,Fully Covered,11
Clearfield,Multiple/Other,Fully Covered,78
Clearfield,Multiple/Other,Partially Covered,113
Clearfield,Unknown,Partially Covered,1300
Clearfield,Unknown,Fully Covered,1193
Clearfield,White,Partially Covered,4840
Clearfield,White,Fully Covered,2594
Clinton,African American,Partially Covered,5
Clinton,African American,Fully Covered,
Clinton,Multiple/Other,Fully Covered,83
Clinton,Multiple/Other,Partially Covered,209
Clinton,Unknown,Fully Covered,293
Clinton,Unknown,Partially Covered,285
Clinton,White,Partially Covered,2959
Clinton,White,Fully Covered,597
Columbia,African American,Partially Covered,35
Columbia,African American,Fully Covered,35
Columbia,Asian,Fully Covered,8
Columbia,Asian,Partially Covered,6
Columbia,Multiple/Other,Fully Covered,159
Columbia,Multiple/Other,Partially Covered,84
Columbia,Unknown,Fully Covered,685
Columbia,Unknown,Partially Covered,434
Columbia,White,Partially Covered,6570
Columbia,White,Fully Covered,3485
Crawford,African American,Fully Covered,31
Crawford,African American,Partially Covered,45
Crawford,Asian,Partially Covered,
Crawford,Asian,Fully Covered,
Crawford,Multiple/Other,Fully Covered,114
Crawford,Multiple/Other,Partially Covered,106
Crawford,Unknown,Partially Covered,844
Crawford,Unknown,Fully Covered,907
Crawford,White,Fully Covered,5741
Crawford,White,Partially Covered,4851
Cumberland,African American,Partially Covered,112
Cumberland,African American,Fully Covered,71
Cumberland,Asian,Fully Covered,13
Cumberland,Asian,Partially Covered,38
Cumberland,Multiple/Other,Fully Covered,437
Cumberland,Multiple/Other,Partially Covered,381
Cumberland,Unknown,Partially Covered,3214
Cumberland,Unknown,Fully Covered,2346
Cumberland,White,Partially Covered,10803
Cumberland,White,Fully Covered,3663
Dauphin,African American,Fully Covered,314
Dauphin,African American,Partially Covered,608
Dauphin,Asian,Fully Covered,20
Dauphin,Asian,Partially Covered,34
Dauphin,Multiple/Other,Fully Covered,492
Dauphin,Multiple/Other,Partially Covered,484
Dauphin,Unknown,Partially Covered,2096
Dauphin,Unknown,Fully Covered,1864
Dauphin,White,Fully Covered,4456
Dauphin,White,Partially Covered,9335
Delaware,African American,Partially Covered,2030
Delaware,African American,Fully Covered,1164
Delaware,Asian,Fully Covered,104
Delaware,Asian,Partially Covered,155
Delaware,Multiple/Other,Fully Covered,1291
Delaware,Multiple/Other,Partially Covered,2043
Delaware,Unknown,Fully Covered,6997
Delaware,Unknown,Partially Covered,10596
Delaware,White,Partially Covered,23801
Delaware,White,Fully Covered,11175
Elk,African American,Partially Covered,
Elk,Asian,Partially Covered,
Elk,Asian,Fully Covered,
Elk,Multiple/Other,Fully Covered,115
Elk,Multiple/Other,Partially Covered,261
Elk,Unknown,Partially Covered,720
Elk,Unknown,Fully Covered,439
Elk,White,Fully Covered,1607
Elk,White,Partially Covered,3194
Erie,African American,Fully Covered,131
Erie,African American,Partially Covered,291
Erie,Asian,Fully Covered,17
Erie,Asian,Partially Covered,15
Erie,Multiple/Other,Fully Covered,372
Erie,Multiple/Other,Partially Covered,227
Erie,Unknown,Fully Covered,3057
Erie,Unknown,Partially Covered,4954
Erie,White,Fully Covered,5091
Erie,White,Partially Covered,10211
Fayette,African American,Fully Covered,25
Fayette,African American,Partially Covered,169
Fayette,Asian,Partially Covered,
Fayette,Asian,Fully Covered,5
Fayette,Multiple/Other,Fully Covered,193
Fayette,Multiple/Other,Partially Covered,254
Fayette,Unknown,Fully Covered,1825
Fayette,Unknown,Partially Covered,3023
Fayette,White,Partially Covered,6525
Fayette,White,Fully Covered,1870
Forest,Asian,Fully Covered,
Forest,Multiple/Other,Fully Covered,
Forest,Multiple/Other,Partially Covered,
Forest,Unknown,Partially Covered,132
Forest,Unknown,Fully Covered,74
Forest,White,Fully Covered,284
Forest,White,Partially Covered,478
Franklin,African American,Fully Covered,52
Franklin,African American,Partially Covered,144
Franklin,Asian,Partially Covered,15
Franklin,Asian,Fully Covered,
Franklin,Multiple/Other,Fully Covered,292
Franklin,Multiple/Other,Partially Covered,354
Franklin,Unknown,Fully Covered,891
Franklin,Unknown,Partially Covered,1573
Franklin,White,Fully Covered,2958
Franklin,White,Partially Covered,8226
